Headings,Dates,Summaries
Find Out Florida: Will Lochloosa Lake Water Levels Ever Return?,"June 30, 2017",How can the water levels in Lochloosa Lake rise up to normal levels? Only nature knows.
Meadowbrook Golf Club Closes Because Of Flooding,"June 15, 2017","With water levels rising  75 feet up a fairway near Northwest 39th Avenue, covering two greens and 4 tee boxes, the golf club's owner Chris Tophermarcum was forced to close for business Monday."
State Buys Gilchrist’s Blue Springs Park For $5.25 Million,"June 14, 2017",The Florida Cabinet on Wednesday morning approved purchasing the 407-acre Blue Springs Park property along the Santa Fe River for $5.25 million.
Heavy Rains Caused No Damage In Alachua County,"June 8, 2017",The forecast calls for the threat of heavy rain to continue in many places. We'll take a virtual tour around Florida to let you see for yourself.
"Hurricane Recovery Efforts A Challenge On East, West Coasts","June 2, 2017","State officials feel good that a lot of the 2016 losses were insured and the state's backup fund to keep insurance companies afloat is fully restocked now, at 17 billion."
Find Out Florida: What Does It Cost To Maintain The Rodman Dam?,"June 2, 2017","This week in The Point podcast, WUFT News answers the question of what the Rodman Dam costs each year to operate. It's about $150,000, less than some environmentalists have said as justification for its removal."
South Florida Water Management Department Hires 25 Burmese Python Hunters,"June 1, 2017","Chosen from 1000 candidates, snake hunters will help eliminate the Burmese python invading the Florida everglades."
"In Cedar Key, Hurricanes Are Always A Risk Of Island Living","May 31, 2017","Cedar Key residents, officials and business owners are getting ready for the upcoming hurricane season."
"“Photo Ark” Photographer Joel Sartore Talks Tree Frogs, Turtles and Tarantulas","April 27, 2017","National Geographic photographer Joel Sartore, the founder of ""Photo Ark,"" an effort to take portraits of every species on Earth, recently visited UF’s Florida Museum of Natural History to photograph insects and celebrate the museum’s 100th anniversary, Sartore sat down with UF environmental journalist-in-residence Cynthia Barnett and conservation photographers Jennifer Adler and Ryan Jones."
Florida Farmers Get Precise With Planting,"April 24, 2017",North Central Florida farmers are investing in new precision farming techniques using GPS to save on fuel and fertilizers. 
State Says Wildfires Likely To Get Worse,"April 20, 2017","With the state battling 106 wildfires covering 124,000 acres as of Wednesday, Florida's top forestry official warned the fire season has yet to reach its peak."
Gov. Scott Backs Reservoir Plan For Lake Okeechobee,"April 18, 2017",Florida Gov. Rick Scott said for the first time Monday that he supports having the state acquire thousands of acres to build a reservoir system south of Lake Okeechobee to help battle toxic algal blooms.
"Philippe Cousteau Jr., On His Family’s Legacy And Steve Irwin’s Death","April 14, 2017","Philippe Cousteau Jr., grandson of Jacques Cousteau, visited the WUFT newsroom Wednesday to discuss environmental issues, such as coral bleaching at the Great Barrier Reef, and being at the scene of shocking events such as the BP oil spill and the death of Steve Irwin. A Q&A with Cousteau is available at WUFT.org."
"As Alligator Activity Increases, Officials Give Tips On Avoiding Conflicts","April 13, 2017","With rising spring temperatures, wildlife officials are warning of increased activity from the American alligator — and they're giving tips for how to avoid conflicts: swimming in designated areas, keeping dogs on leashes, and maintaining a distance when an alligator is spotted."
Florida Could Call On Other States To Help Combat Wildfires,"April 13, 2017","So far this wildfire season, 1,400 wildfires have burned 60,000 acres across Florida. To better battle them, officials may seek out assistance from other states."
In Photos: Gainesville Celebrates Sustainable Lifestyles At VegFest,"April 10, 2017","Gainesville's first VegFest, hosted at Westside park on Saturday afternoon, attracted families, vendors, activists, animal lovers and vegan food enthusiasts while raising awareness about the benefits and long-lasting effects of plant-based diets on the environment, human health and animal welfare."
Bronson Resident Finds Trash Dumping Ground Close To Her Home,"April 7, 2017","Stephanie Buxton, a Bronson resident, found a trash dumping ground near her home behind State Road 24. "
"Vegetation, Alligators At Lochloosa Lake Have Homeowner Worried","April 7, 2017","After a 2012 drought, Alachua County's Lochaloosa Lake water levels dropped, and resident Marc Wilson noticed new vegetation taking over the shoreline. He's now wrestling with the Florida Fish and Wildlife Conservation Commission to get it cleaned up. "
Gainesville Teen Hikes Nearly 300 Miles. To Save Florida.,"April 5, 2017","Anybody could do it, he said. But Oscar Psychas isn’t just anybody."
Out-Of-State Teams Help Battle Wildfire In Osceola National Forest,"March 31, 2017",United States Forest Service workers from across the country are down in Florida helping battle the fire.
"Alachua County, Areas Of Florida In Severe Drought","March 31, 2017","With the worst drought circumstances since 2013, Alachua County has found itself classified as having ""severe"" drought conditions, one of nine counties in Florida."
Forest Service Uses Controlled Burns To Fight Ocala Wildfire,"March 28, 2017","Two Ocala residents chose to flee their home Monday night after U.S. Forest Service officials conducted a controlled fire to stop the spread of the 67-acre Connor Wildfire in the Ocala National Forest. This technique, called a “burnout,” is used to regulate wildfires by burning surrounding vegetation and creating a …"
The Villages Cut Down Water Use Following Water Shortage Order,"March 28, 2017","The Southwest Florida Water Management Company issued a phase one water shortage, affecting water use in The Villages. This is the first shortage issued in more than six years."
When Will The Keys Begin Using Genetically Modified Mosquitoes To Fight Zika?,"March 28, 2017","In collaboration with MosquitoMate, Inc., the Florida Keys Mosquito Control District will hold a field trial in mid-April in hopes to reduce the number of Aedes aegypti mosquitos, which have been related to Zika."
Protesters Rally 1 Month After Sabal Trail Shooter’s Death,"March 27, 2017","On Monday, a group of protesters gathered outside of the Dunnellon Compress Station, where the Sabal Trail Pipeline is being constructed in Marion County. The protesters were speaking against the pipeline and defending James Marker, who was killed by police a month ago after allegedly shooting at the pipeline, leading police on a car chase and brandishing his weapon. "
Brewery Partners With Museum to Save Butterflies,"March 27, 2017",First Magnitude and the Florida Museum of Natural History have partnered to create a limited-edition craft beer to raise money for the Miami blue butterfly.
Florida Farmer Believes Beef Consumption Is Thriving Despite Reported Decline,"March 27, 2017","Is beef still on America's dinner table? Despite a new Natural Resources Defense Council's study that found Americans consumed 19 percent less beef from 2005-2014, a local farmer has a different perspective on beef consumption."
"The Ocklawaha River: Home To Rich History, Diverse Ecosystems","March 27, 2017","Florida's Ocklawaha River has a rich history, from being a place for Native Americans burial mounds to helping in logging transports to kayak tours today. See a gallery of a recent tour at WUFT.org."
Citrus County Expanding Central Landfill To Accommodate Closures,"March 24, 2017",The Citrus County Central Landfill has added 18 eight-yard containers to accommodate for traffic caused by three phases of recycling center closures in Citrus County.
Water Shortage Leads To Warning Order For Seven Counties,"March 23, 2017",Seven counties in North Central Florida are under a Water Shortage Warning Order after a 12-month rainfall deficit. Counties are advised to conserve water.
Fecal Contamination Closes Creek At Gainesville Park,"March 21, 2017","Hogtown Creek at Alfred A. Ring Park in Gainesville is closed for now because of high levels of fecal contamination, officials say. "
Citizens Concerned About Proposed Silver Springs Regulations,"March 20, 2017",The St. John’s River Water Management district is under fire from Marion County citizens after proposing new regulations that would allow an additional 10 million gallons of water to be extracted from Silver Springs every day.
Conservation Awards Winners On Being “Women In The Woods”,"March 20, 2017","Meg Neiderhofer and Pat Harden have worked in conservation almost all their life. On Saturday they were awarded the annual Conservation Stewards Awards by the Alachua Conservation Trust for the ""Women in The Woods""-themed event. They sat down with WUFT News to talk about their lives and their work. "
"Workout On The Waterfront Raises More Than $5,000 For Cedar Key Aquarium","March 20, 2017","About 75 people gathered at Cedar Key for the first annual Workout on the Waterfront, where six teams built boats out of cardboard, plastic and other natural items for the Repurpose-It-Regatta. The University of Florida’s Institute of Food and Agricultural Sciences Nature Coast Biological Station held the event."
GRU Discusses Biomass Plant Purchase At City Meeting,"March 3, 2017",GRU wants to purchase a biomass plant from GREC for $750 million. GREC has yet to sign the MOU. 
Sabal Trail Pipeline Prevents Native American Funeral Ceremony,"February 28, 2017",A Seminole Elder's body waits in a morgue while his family members figure out what to do with his remains after construction of the Sabal Trail Pipeline disturbed a nearby burial ground. 
Proposed Bill Would Fund Conservation Of Newnans Lake,"February 27, 2017","Rep. Clovis Watson Jr. (D-FL) is asking the Florida Legislature for $470,000 to stop more algae from growing in Newnans Lake. The onslaught of nitrogen and phosphorus to the lake could hurt the fish population.  "
Seahorse Key Opened For Visitors Before Nesting Season,"February 26, 2017",Seahorse Key opened to visitors this past weekend before the area is closed off for bird nesting season starting March 1.
Concerned Citizens Protest At Public Meeting To Discuss Flow Levels Of Rainbow River,"February 24, 2017","The Southwest Florida Water Management District held a public workshop at Dunnellon City Hall to discuss reducing the minimum flows, or MFL, of the Rainbow River Thursday."
Hurricane Hermine Damage Still Evident In Cedar Key,"February 21, 2017",The Beach Front Motel and The Island Room Restaurant are two of the many businesses in Cedar Key that suffered damages from last year's storm. They are recovering but damage from Hurricane Hermine is still evident in the area.  
GRU Disputes Annual Payments To GREC,"February 3, 2017","GRU disputes annual payments to GREC, which could lead to renegotiation of the 30-year contract."
Florida Forest Service Calls Attention To Prescribed Burns,"February 3, 2017","The Florida Forest Service is striving to complete more burns during the winter months, before the weather gets too warm."
Florida Paddlers May Have To Pay To Play,"February 1, 2017","Florida outdoor enthusiasts may soon have to pay to paddle on state waterways. A citizen panel will meet in Orlando tonight to discuss whether or not they will be asking for registration of non-motorized boats such as kayaks, canoes and paddle boards in the state of Florida."
Gainesville Volunteers Work to Eradicate Invasive Plant,"January 30, 2017",More than 900 volunteers across Gainesville helped clear up the invasive species Coral Ardisia during the Great Invader Raider Rally on Saturday. 
Lawmakers Want Money For North Florida Waterways,"January 24, 2017","A coalition called ""Stand Up for North Florida"" continued its fight for more money to protect North Florida waterways Monday. "
Districts Approve Future Water Supply Plan,"January 17, 2017","St. Johns and Suwannee river water management districts approved the North Florida Regional Water Supply Plan on Tuesday in spite of opposition from environmentalists, spring advocates and business owners."
Environmental Author Jordan Smith: From Firefighter to Storyteller,"January 6, 2017","“Instead of saying to my reader, ‘Okay, now watch this. I’m gonna try to really make this complex web of relationships right in front of you,’ I just did it.”"
Nature Photographer John Moran Forever In Search Of Florida’s Eternal Beauty,"January 3, 2017","Formerly a ""bliss and beauty nature photographer,"" Moran is answering a higher calling — to save Florida's endangered waters. "
"Q & A With Gabby Salazar, Conservation Photographer","January 2, 2017",The youngest director of the North American Nature Photography Association tells what it is like to be a woman in the male-dominated field.
Jack Davis: “Sometimes Breaking The Rules Is A Good Thing.”,"January 1, 2017",Writer Jack Davis gives a piece of advice to young writers.
New York Professor Speaks About Her Research On “Invisible” Cables Connecting The Continents,"December 31, 2016","""The imagination of the cloud is much more fitting than something that is much more grounded: buried underneath the ocean and going along narrow routes."""
Award-Winning Environmental Journalist Vows To Come Together And Save Water Resources,"December 30, 2016","Eva Liu talks with Cynthia Barnett about the ""democratization of water"" and environmental changes we can make together as a community."
Photographer Scott Stebner Works to Empower The Agricultural Community,"December 29, 2016","Inspired by his uncle, Carl Mydans, who photographed for the Farm Security Administration, Stebner found his passion in Kansas—photographing farmers and ranchers and the soul behind agriculture. "
Earth Advocate Susan Cerulean Speaks Out On Climate Change In “Coming to Pass”,"December 27, 2016","""We can get to feeling like the Earth is our enemy, when the truth is, it is the human relationship with the planet that is actually broken— the climate—coasts—refuges. Everything begins there."""
Q & A With Science Journalist And Author Hugh Aldersey-Williams,"December 26, 2016",Author and journalist Hugh Aldersey-Williams discusses his book The Tide: The Science and Stories Behind the Greatest Force on Earth.
For the Love of Cypress,"December 18, 2016",Many people consider red-cypress mulch a beautiful cover for landscapes. But is it worth the loss of some of our most beautiful and iconic trees?
The Florida Department Of Environmental Protection Gives $1.5 Million To Help Dairy Farmers Use Water Efficiently,"December 7, 2016",Dairy farmers can now save and use water more efficiently thanks to a cost-share assistance program created by the Suwannee River Water Management District.
Environmentalists Push Again For Removal Of Rodman Dam,"December 7, 2016",Florida Defenders of the Environment are picking up a decades-old fight tear down the Rodman Dam to help restore the Ocklawaha River. Local anglers and businesses who rely on the premier bass fishing hole are worried about the outcome. 
"In Rural Union County, Web Designer Finds New Life As Free Range Farmer","December 5, 2016","Free range chicken farmer says it's better to be stressed all the time on the farm, than bored, sitting at a desk 50 hours a week."
"Don’t Throw Out Old Holiday Lights, Alachua County Experts Say","December 1, 2016",Experts say its important to recycle old holiday lights when replacing them.
"To Protect 2 Bat Species, Withlacoochee Forest To Close Caves","November 21, 2016",The six caves — all in a roughly 3-acre area — were selected because they're home to two species of bats: the Southeastern myotis and the tricolored bat.
Man Says Sabal Trail Pipeline Construction Damaged His Backyard,"November 17, 2016","The Sabal Trail Pipeline, a $3 billion dollar project stretching over 500 miles, has homeowners devastated after realizing the project would take place so close to their homes."
North Central Florida Residents Protest Pipelines,"November 17, 2016",Residents of North Central Florida are up in arms over the construction of both the Sabal Trail and the Dakota Access Pipelines.
‘Wild Spaces Public Places’ Amendment Passes,"November 10, 2016",Alachua County voters passed an extended version of the Wild Spaces and Public Places sales tax.
Paynes Prairie Goes On Without Management,"November 9, 2016",Paynes Prairie Preserve State Park has still not hired someone to replace its past manager who retired last spring.
Ichetucknee Springs Water Quality Improvement Project Completed,"November 9, 2016",The Florida Department of Environmental Protection celebrated the completion of a water improvement project for Ichetucknee Springs that will reduce unwanted nutrients in the water.
Amendment 1: Impact On Solar Consumers,"November 3, 2016",Suppliers and consumers are concerned about the impact Amendment 1 might have toward solar power.
Facebook Users Prepare To Protest Over Sabal Trail Pipeline,"November 2, 2016","Facebook event “Springs Not Pipelines! An Action Camp on the Santa Fe River” has reached over 900 people, preparing them to use their rights to protest the Sabal Trail pipeline. "
"Hurricane Season Does Not Increase Zika Risk For Gainesville, Experts Conclude","October 27, 2016","While the Zika virus is still present in the Sunshine State, researchers have found that hurricane season does not increase the risk of contracting it."
Mosquitoes Swarm Alachua County Fairgrounds,"October 26, 2016",Officials say mosquitoes are swarming the Alachua County Fairgrounds due to rain brought by Hurricane Matthew.
Fla. Reaches Deal With Fertilizer Maker On Sinkhole Cleanup,"October 25, 2016",The Florida Department of Environmental Protection issued the consent order to seal the hole and clean up the contamination late Monday.
Citizen Coalition Takes Stand Against Conservation Tax,"October 21, 2016","A new coalition of community activists has formed in opposition to the Wild Spaces Public Places Referendum that is on the ballot again this year,"
New Study On Bear Demographics May Help Determine Future Bear Hunt,"October 21, 2016","The Florida Fish and Wildlife Conservation Commission has began a three-year study to collect data on bear population demographics in northwest Florida, which will help inform decisions about future bear hunts."
"Motion For Solar Approved, Final Decision In December","October 20, 2016",The Alachua County Planning Commission decided to approve the exception for a 74.5-megawatt solar facility straddling the Alachua and Putnam County line.
"Florida, Georgia Prepare For Federal “Water Wars” Trial","October 14, 2016",A decades-long fight between Florida and Georgia over the supply of water in the states' shared watershed and how that water is used is headed to trial beginning on Oct. 31.
UF Hosts Second Annual Climate Change Communications Summit,"October 13, 2016","For the second year, the University of Florida hosted a free event to encourage dialogue about climate change."
Citrus Decline Continues In Florida,"October 13, 2016","Citrus production continues to plummet in Florida, as the first forecast for the 2016-2017 growing season indicates a 14 percent drop in the state’s orange crop. The forecast Wednesday from the U.S. Department of Agriculture predicts that Florida growers will harvest enough oranges to fill 70 million 90-pound boxes in the coming …"
"A Leaning Tower At GRU, And The Return of Power from GREC","October 4, 2016","With Deerhaven 2 suddenly out, Deerhaven 1's maintenance outage will be postponed."
North Central Florida Counties Work to Increase Recycling Rates,"September 29, 2016",Recycling rates in Florida have increased by 26% since 2010 as the result of a statewide effort to achieve a 75% recycling rate by 2020. Some county recycling coordinators think this goal think this goal is unrealistic.
New Rule Aims To Alert Floridians Of Pollution Incidents,"September 27, 2016",This comes after a sinkhole in Polk County released possibly contaminated water from a phosphate plant and a separate sewage leak in Pinellas County.
Gainesville Chamber of Commerce Says It Would Not Support Conservation Tax,"September 23, 2016",The Gainesville Chamber of Commerce recently voted not to support the Wild Spaces Public Places tax referendum on November's ballot. 
Ocala Gives Land To Mental Health Treatment Center,"September 21, 2016",Marion County children will receive more help than ever after The Centers was given land for a new building by the City of Ocala on Tuesday.
Fla. Working To Reduce Pollution In Natural Areas,"September 21, 2016","Since 2000, Florida’s sulfur-dioxide emissions have decreased by about 80 percent, and its nitrogen-oxide emissions from industrial sources have fallen by roughly 70 percent."
Concerns Continue Over Polk County Phosphate Sinkhole,"September 20, 2016","Bradley Marshall, of the environmental group Earthjustice, said what happened at the Mosaic plant just proves mining for phosphate is bad for the environment."
Alachua County Investigates Oil Spill in Duckpond,"September 16, 2016","Alachua County is investigating the cause of an oil spill in Duck Pond that has kept ducks, swan and other waterfowl away. "
Manatees Stranded At Crystal River Rescued,"September 16, 2016",Seven manatees stranded in a Crystal River golf course pond after Hurricane Hermine were rescued and released Thursday. 
Citrus Disease Still Harms Industry Despite New Findings,"September 14, 2016","New procedures are being implemented to combat greening, a serious citrus disease that affects crops worldwide. The disease is particularly detrimental in Florida, as the state’s citrus industry has an estimated worth $10.9 billion, according to the University of Florida Institute of Food and Agricultural Sciences’ website. According to Tom …"
USDA Increases Beetle Trapping To Save Ash Trees,"September 14, 2016","The USDA is increasing its effort against infestations of the emerald ash borer, an invasive beetle native to eastern Asia which has diminished ash tree populations throughout the United States."
Want To Use Your Own Solar Power In Alachua? The City Says Pay Up,"September 13, 2016",The city will charge a $10 monthly fee to customers benefitting from a kilowatt increase.
"Fla. Looks To Protect Islands For Birds, Citrus County Caves For Bats","September 12, 2016","The boundaries are called Critical Wildlife Areas, or CWAs, which are meant to protect wildlife during critical points in their life, such when baby birds are being raised in nests. "
"Ocala Forest Begins $800K Project To Help Wildlife, Stop Wildfires","September 12, 2016",Hurricane Hermine pushed back the start date of a mowing project for the Ocala National Forest that is meant to reduce the risk of wildfires and improve the forest's health.
Florida Researchers Seek To Replace Harmful Pesticides With Bats,"September 8, 2016","State specialists see bats, who can consume up to 1,000 insects in a single night, as an alternative tool to curb mosquito and agricultural pest populations."
Aggressive Treatment Of Invasive Plants Evokes Mixed Emotions In Lake Rousseau,"September 8, 2016",A canopy of Hydrilla over the water creates a haven for fishermen and a hell for the ecosystem.
Floridians Will Vote On Solar Panel Amendment,"September 7, 2016",Florida's proposed Amendment 1 on the ballot this November may cause Floridians using solar panels to see higher utility charges.
Citrus County Water Project Might End Arsenic Concerns,"September 1, 2016","Having to choose between spending hundreds of dollars on bottled water or drinking tap water contaminated with arsenic might sound uncommon, but it is a problem some Citrus County residents have had for 10 years. Their struggle might come to an end next year thanks to a partnership between the …"
"Supporters, Opponents Put Light Between Solar Measures","September 1, 2016","After voters cast their ballot for a solar initiative on Tuesday, supporters and opponents clarify differences with another solar proposal on November ballot. "
Voters Give Green Light To Solar Tax Break,"August 30, 2016",Primary-election voters Tuesday approved the expansion of a renewable-energy tax break.
Legal Challenges Mount Over New Water Standards,"August 25, 2016","After the Seminole Tribe of Florida launched a legal challenge earlier in the month, the city of Miami and a paper-mill industry group also are taking aim at controversial new state water-quality standards. The city and the group Florida Pulp and Paper Association Environmental Affairs, Inc., filed separate challenges during …"
New Rules Will Increase Levels Of Some Chemicals in Florida’s Water,"July 27, 2016","Florida Environmental Regulation Commission votes in favor of raising toxic chemical levels in Florida's drinking water. The new rule lowered the limits on some chemicals, while adding and increasing others. "
Rare Sea Turtles Pass 50-Year Recovery Milestone In Georgia,"July 15, 2016","SAVANNAH, Ga. (AP) — Rare loggerhead sea turtles reached a conservation milestone on the coast of Georgia in the midst of a strong nesting season on southern Atlantic beaches. Georgia wildlife officials announced this week that more than 2,890 loggerhead nests have been counted this summer along the state’s 100-mile …"
Natural History Museum’s Butterfly Rainforest Houses Rare Ghost Orchid,"July 15, 2016",Rare ghost orchids are blooming in the Butterfly Rainforest at the Florida Museum of Natural History. 
Primates May Be Preying On Bird Eggs In Silver Springs State Park,"July 15, 2016",A new UF/IFAS study has found that rhesus macaques may be preying on bird eggs at Silver Springs State Park. 
Florida’s Orange Crop Drops 16 Percent,"July 13, 2016","Florida's citrus season will produce enough oranges to fill 81.5 million 90-pound boxes this year, down nearly 16 percent from the prior season. A major cause for the decrease in oranges has been citrus greening, a disease that is deadly to the crop."
"Invasive Whitefly Species Spreading Through Florida, Could Threaten Crops","July 11, 2016",The insect is new to Florida and could threaten agriculture in eight counties. 
Cedar Key: A Place Where Research And Vacation Meet,"July 8, 2016","Cedar Key is a working waterfront community — home to the most productive clam farming in the state, Native American archeological sites, marine biology labs and snake and bird research."
Waste Free July Promotes Less Plastic Use,"July 7, 2016","For the month of July, the Alachua County Office of Waste Alternatives is asking residents to consider giving up disposable plastic so they think about everyday waste. "
Scott Pitches Septic Replacement Amid Algae Woes,"July 6, 2016","Money to reduce the use of septic systems will be in Gov. Rick Scott’s proposed budget for next year, as the state grapples with swirling green algae coating waterways in parts of the Treasure Coast. However, incoming Senate President Joe Negron, R-Stuart, said that while cleaning runoff and replacing septic …"
Florida Launches Hotline For Residents To Report Algae Bloom,"July 5, 2016",Florida has launched a hotline to help residents give updates on the massive algae bloom fouling some of Florida's southern rivers and beaches.
Federal Action Sought For Florida Coastline Tainted By Algae,"June 30, 2016","Officials want federal action along a stretch of Florida's Atlantic coast where the governor has declared a state of emergency over algae blooms. The blue-green algae is the latest contaminant in yearslong arguments over water flowing from Lake Okeechobee, which is critical to South Florida's water supply and flood control systems. The Martin County Commission is inviting the president to view deteriorating water conditions that local officials blame on freshwater being released from the lake, according to a statement released Wednesday."
Ocala Removing Pollution-Causing Septic Tanks,"June 29, 2016","Ocala is removing septic tanks and wells from local properties in an effort to decrease pollution in Florida's lakes, rivers and natural springs. The city has completed 160 projects and is on pace to address 30-40 projects per week during the nine-month, $10 million program."
Scallop Season Cut Short Due To Red Tide,"June 24, 2016",FWC Chairman Brian Yablonski acknowledged the compromise poses some risk.   
Judge Awards $4.4 Million To Gainesville Company Over Disputed Biomass Supply Contract,"June 23, 2016",The lawsuit required an 8-day trial last month at the Alachua County Family/Civil Justice Center.
Uncharted Waters: Restoring Deep Gulf Fouled By BP Spill,"May 30, 2016","Far offshore and a mile deep in the dark world below the Gulf of Mexico's gleaming surface, the catastrophic BP oil spill of 2010 did untold damage on the ocean floor"
Mosquito Trapping Begins for the Summer Season,"May 27, 2016","By using chickens and mosquito traps, the Alachua County Health Department has begun collecting data to learn more about potential diseases and local threats.  "
It’s Not Just Flooding,"May 25, 2016",The lesser-known threat from sea-level rise? Saltwater intrusion into Florida’s freshwater wells.
The Climate Migrants,"May 25, 2016","Safe from rising seas, North Central Florida may see another major impact from climate change: refugees"
Cofrin Nature Park Celebrates Reopening Tuesday,"May 20, 2016","Cofrin Nature Park's completed renovations, including a survivors of suicide memory garden, are set to be revealed at an opening ceremony on Tuesday. "
Public Speaks Out Against Phosphate Mining in Bradford County,"May 20, 2016",Alachua County officials are offering assistance with reviewing Bradford County's phosphate mining application.
Fracking at Florida’s Front Door?,"May 4, 2016","While a bill to allow fracking in Florida died in this year’s legislative session, the issue is likely to return in 2017."
"After Tree Fest, 40,000 Seedlings Destined For Little Orange Creek","April 28, 2016","Funding for the effort comes from Tree Fest, an annual conservation fundraiser that coincides with Earth Day and is put on by two Gainesville companies, Swamp Head Brewery and Solar Impact. "
Can churches have an impact on how North Florida cares for its freshwaters?,"April 27, 2016","When it comes to water, local churches have commonly worked to build wells and latrines in the developing world as part of an obligation to the poor. But as water pressures at home become more acute, some churches are finding ways to become involved here, too."
Bradford County — Considering Phosphate Mining Application — Cancels Public Workshop,"April 26, 2016","The proposed mine is on the radar of Alachua County officials, too."
Why Aren’t All Of Gainesville’s Midtown Bars Recycling?,"April 24, 2016","Many bars in midtown are not recycling, a violation of Gainesville's commercial recycling ordinance."
Celebrate Earth Day In And Around Gainesville,"April 22, 2016","If you're heading out for Earth Day festivities this weekend, WUFT has list of activities throughout the region to celebrate mother Earth. "
"UF, Disney To Partner On Conservation Initiative","April 22, 2016",Researchers in two University of Florida departments are going to partner with Disney's Conservation Fund for research on strategies to help sustain endangered species of butterflies and sea turtles. UF is the only university to partner with Disney in this initiative.
"After $750K In Renovations, Paynes Prairie Reopens Visitor Center","April 21, 2016",Paynes Prairie Preserve State opened its newly renovated visitors center Wednesday after closing it for eight months for renovations.
Researchers: 2010 BP Oil Spill May Have Caused Recent Spike in Sea Turtle Deaths,"April 20, 2016",Members of the Institute for Marine Mammal Studies are working to determine if a recent influx of Kemp’s ridley sea turtle deaths in Mississippi are linked to the 2010 BP oil spill.
The Repurpose Project to Hold a Trash Fashion Show on Earth Day,"April 20, 2016","In honor of Earth Day, Repurpose Project Runway will host a fashion show on Friday featuring all recycled outfits and jewelry. "
Kanapaha Botanical Gardens to Host a Moonlight Walk,"April 20, 2016","The Kanapaha Botanical Gardens offers a variety of attractions and services that guests can come and enjoy, as well as hosting special events.  They offer 24 collections of plants and flowers include a rose garden, a vinery, a hummingbird and butterfly garden, and a sinkhole overlook. Summer offers the most colorful time at …"
Turtle Tracking: How One Group’s Data Tells The Story of an Ecosystem’s Health,"April 20, 2016",Photo story: A turtle research group's long-term population study shows quality of water and overall health of freshwater environments.
Flushed But Not Forgotten,"April 20, 2016","If you’re flushing wipes down the toilet, think again. Not only are wipes ‘public enemy No. 1’ at the wastewater plant, but they and other non-flushable items also hinder the return of clean water to the environment."
Putnam County Investigators Are Still Trying To Find Out Who Set Its Forests On Fire,"April 14, 2016",Local law enforcement is investigating a few suspicious instances to determine if the county has an active arsonist. 
GREC Argues Biomass Supplier Is Asking For Too Much Money In Its Breach Of Contract Lawsuit,"April 14, 2016",Gainesville Renewable Energy and Wood Resource Recovery met for a preliminary court hearing Monday.
Citrus County’s Students Are Learning to Save Water Using These Dye Tablets,"April 12, 2016","The Water Leak Detection Challenge, a challenge where dye tablets are used to detect leaky toilets, can help families save anywhere from $7.50 to $22 per month on their water bill. "
Petition To Make Bears An Endangered Species Will Move Forward,"April 11, 2016","Bears were a threatened species until 2012, when population was thought to be around 3,000. The U.S. Fish and Wildlife Service will determine their endangered species status. "
"Scott Signs ‘Legacy Florida’ For Everglades, Springs","April 8, 2016","The 'Legacy Florida' bill Gov. Scott signed into law Thursday opens up a pool of money that will go towards restoration and protection of Lake Apopka, natural springs and the Everglades."
Florida Fishers To Get License Pass This Weekend,"March 31, 2016","This Saturday and Sunday's program is one of four free-fishing weekends — two freshwater, two saltwater — the Florida Fish and Wildlife Conservation Commission offers each year."
Gallery: Following North Florida’s Water Story,"March 30, 2016","As part of our Project: Blue Ether, journalist Matt Bruce follows our water supply in North Central Florida through photos."
Tree Ring Record Shows Recent Southeastern Droughts “A Drop In The Bucket”,"March 30, 2016","The drought of the late 2000s sticks out in many of our memories as particularly severe. But in the scope of history, new tree-ring research shows, that big drought was not very big at all."
Haile HOA Says Yes To Florida-Friendly Lawns,"March 29, 2016","Some neighborhood associations are moving toward more sustainable landscaping practices to conserve water.  Haile Plantation Association is using sustainable practices in its common areas, but it doesn’t have authority over how residents water their lawns."
New Bear Numbers Do Not Include Those Killed In Hunt,"March 25, 2016","Florida black bears have emerged as a topic of contention as of late because of 2015's hunt, which killed 304 of the animals﻿."
Trails In Williston Highlands Overrun With Trash,"March 23, 2016",Walking trails in eastern Levy county have been inundated with trash. Some suspect the reason may be due to avoiding the trash dump in Bronson. 
"On World Water Day, Diving Into North Florida’s Water Story","March 22, 2016","North Central Florida has always been known for its freshwater riches. Starting next week, WUFT News will publish a series on water lead by the environmental journalist Cynthia Barnett."
"In Alachua County, Trash Might Be Your New Office Supplies","March 18, 2016","Alachua County is looking to show that one person’s trash can be another’s coffee table. To educate residents about how useful repurposing can be, Alachua County’s Office of Sustainability is set to host a lunch-and-learn workshop focused on the benefits of reusing what might otherwise become household trash. Attendees will learn how to make a …"
"Residents, Mining Reps Debate Proposed Union County Mine; Vote Set For March 21","March 8, 2016",The fate of a proposed Union County phosphate mine will be decided later this month. Commissioners will decide whether to approve or deny banning all mining permits for one year.
Mining Company Promises Innovation; Protesters Stand Ground,"March 4, 2016","The company would create 181 jobs; it would also mine more than 7,000 acres of rural land over the next 20 to 30 years. With a vote from the Union County Board of Commissioners fast approaching, residents plan to protest until the bitter end."
Deformed Wing Virus Affecting Florida Bees,"March 1, 2016","Deformed wing virus has hit Florida bees, which can lead to reduced pollination in the state's crops. When bees contract DWV along with Varroa mites, they can never fly again, and it can even kill entire honeybee colonies.  "
